rank,path_id,start_node,end_node,nodes,cost,time
1,14,"(3, 7)","(3, 7)","[(3, 7)]",0,0
2,18,"(4, 0)","(4, 0)","[(4, 0)]",0,0
3,39,"(4, 0)","(4, 0)","[(4, 0)]",0,0
4,43,"(3, 7)","(3, 7)","[(3, 7)]",0,0
5,10,"(0, 4)","(1, 3)","[(0, 4), (0, 3), (1, 3)]",2.0,2
6,22,"(6, 4)","(7, 3)","[(6, 4), (6, 3), (7, 3)]",2.0,2
7,35,"(6, 4)","(7, 3)","[(6, 4), (6, 3), (7, 3)]",2.0,2
8,47,"(0, 4)","(1, 3)","[(0, 4), (0, 3), (1, 3)]",2.0,2
9,28,"(3, 7)","(7, 7)","[(3, 7), (4, 7), (5, 7), (6, 7), (7, 7)]",4.0,4
10,36,"(0, 0)","(4, 0)","[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0)]",4.0,4
11,46,"(0, 0)","(1, 3)","[(0, 0), (0, 1), (0, 2), (0, 3), (1, 3)]",4.0,4
12,3,"(0, 0)","(4, 0)","[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0)]",4.0,4
13,5,"(0, 0)","(1, 3)","[(0, 0), (0, 1), (0, 2), (0, 3), (1, 3)]",4.0,4
14,11,"(3, 7)","(7, 7)","[(3, 7), (4, 7), (5, 7), (6, 7), (7, 7)]",4.0,4
15,21,"(6, 4)","(7, 7)","[(6, 4), (6, 5), (6, 6), (6, 7), (7, 7)]",4.0,4
16,30,"(6, 4)","(7, 7)","[(6, 4), (6, 5), (6, 6), (6, 7), (7, 7)]",4.0,4
17,42,"(0, 4)","(3, 7)","[(0, 4), (0, 5), (0, 6), (0, 7), (1, 7), (2, 7), (3, 7)]",6.0,6
18,49,"(4, 0)","(1, 3)","[(4, 0), (3, 0), (2, 0), (1, 0), (1, 1), (1, 2), (1, 3)]",6.0,6
19,9,"(0, 4)","(3, 7)","[(0, 4), (0, 5), (0, 6), (0, 7), (1, 7), (2, 7), (3, 7)]",6.0,6
20,15,"(3, 7)","(1, 3)","[(3, 7), (2, 7), (1, 7), (1, 6), (1, 5), (1, 4), (1, 3)]",6.0,6
21,17,"(4, 0)","(7, 3)","[(4, 0), (4, 1), (4, 2), (4, 3), (5, 3), (6, 3), (7, 3)]",6.0,6
22,20,"(4, 0)","(1, 3)","[(4, 0), (3, 0), (2, 0), (1, 0), (1, 1), (1, 2), (1, 3)]",6.0,6
23,23,"(6, 4)","(4, 0)","[(6, 4), (5, 4), (4, 4), (4, 3), (4, 2), (4, 1), (4, 0)]",6.0,6
24,24,"(6, 4)","(3, 7)","[(6, 4), (5, 4), (4, 4), (3, 4), (3, 5), (3, 6), (3, 7)]",6.0,6
25,25,"(6, 4)","(1, 3)","[(6, 4), (5, 4), (4, 4), (3, 4), (2, 4), (1, 4), (1, 3)]",6.0,6
26,34,"(4, 0)","(7, 3)","[(4, 0), (4, 1), (4, 2), (4, 3), (5, 3), (6, 3), (7, 3)]",6.0,6
27,40,"(6, 4)","(4, 0)","[(6, 4), (5, 4), (4, 4), (4, 3), (4, 2), (4, 1), (4, 0)]",6.0,6
28,45,"(6, 4)","(3, 7)","[(6, 4), (5, 4), (4, 4), (3, 4), (3, 5), (3, 6), (3, 7)]",6.0,6
29,48,"(3, 7)","(1, 3)","[(3, 7), (2, 7), (1, 7), (1, 6), (1, 5), (1, 4), (1, 3)]",6.0,6
30,50,"(6, 4)","(1, 3)","[(6, 4), (5, 4), (4, 4), (3, 4), (2, 4), (1, 4), (1, 3)]",6.0,6
31,8,"(0, 4)","(4, 0)","[(0, 4), (0, 3), (0, 2), (0, 1), (0, 0), (1, 0), (2, 0), (3, 0), (4, 0)]",8.0,8
32,37,"(0, 4)","(4, 0)","[(0, 4), (0, 3), (0, 2), (0, 1), (0, 0), (1, 0), (2, 0), (3, 0), (4, 0)]",8.0,8
33,7,"(0, 4)","(7, 3)","[(0, 4), (0, 3), (1, 3), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3), (7, 3)]",8.0,8
34,12,"(3, 7)","(7, 3)","[(3, 7), (3, 6), (3, 5), (3, 4), (3, 3), (4, 3), (5, 3), (6, 3), (7, 3)]",8.0,8
35,13,"(3, 7)","(4, 0)","[(3, 7), (3, 6), (3, 5), (3, 4), (3, 3), (3, 2), (3, 1), (3, 0), (4, 0)]",8.0,8
36,19,"(4, 0)","(3, 7)","[(4, 0), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5), (3, 6), (3, 7)]",8.0,8
37,32,"(0, 4)","(7, 3)","[(0, 4), (0, 3), (1, 3), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3), (7, 3)]",8.0,8
38,33,"(3, 7)","(7, 3)","[(3, 7), (3, 6), (3, 5), (3, 4), (3, 3), (4, 3), (5, 3), (6, 3), (7, 3)]",8.0,8
39,38,"(3, 7)","(4, 0)","[(3, 7), (3, 6), (3, 5), (3, 4), (3, 3), (3, 2), (3, 1), (3, 0), (4, 0)]",8.0,8
40,44,"(4, 0)","(3, 7)","[(4, 0), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5), (3, 6), (3, 7)]",8.0,8
41,4,"(0, 0)","(3, 7)","[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (1, 7), (2, 7), (3, 7)]",10.0,10
42,27,"(0, 4)","(7, 7)","[(0, 4), (0, 5), (0, 6), (0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7)]",10.0,10
43,31,"(0, 0)","(7, 3)","[(0, 0), (0, 1), (0, 2), (0, 3), (1, 3), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3), (7, 3)]",10.0,10
44,41,"(0, 0)","(3, 7)","[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (1, 7), (2, 7), (3, 7)]",10.0,10
45,2,"(0, 0)","(7, 3)","[(0, 0), (0, 1), (0, 2), (0, 3), (1, 3), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3), (7, 3)]",10.0,10
46,6,"(0, 4)","(7, 7)","[(0, 4), (0, 5), (0, 6), (0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7)]",10.0,10
47,16,"(4, 0)","(7, 7)","[(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (5, 7), (6, 7), (7, 7)]",10.0,10
48,29,"(4, 0)","(7, 7)","[(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (5, 7), (6, 7), (7, 7)]",10.0,10
49,1,"(0, 0)","(7, 7)","[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7)]",14.0,14
50,26,"(0, 0)","(7, 7)","[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7)]",14.0,14
