rank,path_id,start_node,end_node,nodes,cost,time
1,22,"(20, 23)","(17, 23)","[(20, 23), (19, 24), (18, 24), (17, 23)]",3.82842712474619,3
2,53,"(20, 23)","(17, 23)","[(20, 23), (19, 24), (18, 23), (17, 23)]",3.82842712474619,3
3,47,"(20, 23)","(17, 23)","[(20, 23), (19, 24), (18, 23), (17, 23)]",3.82842712474619,3
4,63,"(6, 31)","(3, 31)","[(6, 31), (5, 30), (4, 29), (3, 30), (3, 31)]",5.242640687119285,4
5,57,"(6, 31)","(3, 31)","[(6, 31), (5, 30), (4, 29), (3, 30), (3, 31)]",5.242640687119285,4
6,12,"(6, 31)","(3, 31)","[(6, 31), (5, 30), (4, 29), (3, 30), (3, 31)]",5.242640687119286,4
7,17,"(14, 8)","(11, 8)","[(14, 8), (13, 7), (12, 6), (11, 6), (10, 7), (11, 8)]",6.656854249492381,5
8,52,"(14, 8)","(11, 8)","[(14, 8), (13, 7), (12, 6), (11, 6), (10, 7), (11, 8)]",6.656854249492381,5
9,27,"(28, 0)","(25, 0)","[(28, 0), (28, 1), (28, 2), (29, 3), (30, 4), (30, 5), (29, 6), (28, 5), (27, 4), (26, 4), (25, 3), (25, 2), (24, 1), (25, 0)]",16.313708498984763,13
10,42,"(28, 0)","(25, 0)","[(28, 0), (28, 1), (28, 2), (29, 3), (30, 4), (30, 5), (29, 6), (28, 5), (27, 4), (26, 4), (25, 3), (25, 2), (24, 1), (25, 0)]",16.313708498984763,13
11,15,"(14, 8)","(25, 0)","[(14, 8), (15, 9), (16, 10), (17, 9), (18, 9), (19, 8), (19, 7), (19, 6), (19, 5), (20, 4), (21, 3), (22, 3), (23, 2), (24, 1), (25, 0)]",17.72792206135786,14
12,40,"(14, 8)","(25, 0)","[(14, 8), (15, 9), (16, 10), (17, 9), (18, 9), (19, 8), (19, 7), (19, 6), (19, 5), (20, 4), (21, 3), (22, 3), (23, 2), (24, 1), (25, 0)]",17.72792206135786,14
