rank,path_id,start_node,end_node,nodes,cost,time
1,12,"(6, 31)","(3, 31)","[(6, 31), (5, 31), (4, 31), (3, 31)]",3.0,3
2,17,"(14, 8)","(11, 8)","[(14, 8), (13, 8), (12, 8), (11, 8)]",3.0,3
3,22,"(20, 23)","(17, 23)","[(20, 23), (19, 23), (18, 23), (17, 23)]",3.0,3
4,29,"(20, 23)","(17, 23)","[(20, 23), (19, 23), (18, 23), (17, 23)]",3.0,3
5,34,"(14, 8)","(11, 8)","[(14, 8), (13, 8), (12, 8), (11, 8)]",3.0,3
6,39,"(6, 31)","(3, 31)","[(6, 31), (5, 31), (4, 31), (3, 31)]",3.0,3
7,6,"(6, 31)","(3, 31)","[(6, 31), (5, 31), (4, 31), (3, 31)]",3.0,3
8,11,"(14, 8)","(11, 8)","[(14, 8), (13, 8), (12, 8), (11, 8)]",3.0,3
9,16,"(20, 23)","(17, 23)","[(20, 23), (19, 23), (18, 23), (17, 23)]",3.0,3
10,23,"(20, 23)","(17, 23)","[(20, 23), (19, 23), (18, 23), (17, 23)]",3.0,3
11,28,"(14, 8)","(11, 8)","[(14, 8), (13, 8), (12, 8), (11, 8)]",3.0,3
12,33,"(6, 31)","(3, 31)","[(6, 31), (5, 31), (4, 31), (3, 31)]",3.0,3
13,31,"(6, 31)","(3, 31)","[(6, 31), (5, 31), (4, 31), (3, 31)]",3.0,3
14,1,"(6, 31)","(3, 31)","[(6, 31), (5, 31), (4, 31), (3, 31)]",3.0,3
15,8,"(20, 23)","(17, 23)","[(20, 23), (19, 23), (18, 23), (17, 23)]",3.0,3
16,13,"(20, 23)","(17, 23)","[(20, 23), (19, 23), (18, 23), (17, 23)]",3.0,3
17,18,"(14, 8)","(11, 8)","[(14, 8), (13, 8), (12, 8), (11, 8)]",3.0,3
18,21,"(6, 31)","(3, 31)","[(6, 31), (5, 31), (4, 31), (3, 31)]",3.0,3
19,9,"(20, 23)","(17, 23)","[(20, 23), (19, 23), (18, 23), (17, 23)]",3.0,3
20,2,"(14, 8)","(11, 8)","[(14, 8), (13, 8), (12, 8), (11, 8)]",3.0,3
21,3,"(20, 23)","(17, 23)","[(20, 23), (19, 23), (18, 23), (17, 23)]",3.0,3
22,4,"(20, 23)","(17, 23)","[(20, 23), (19, 23), (18, 23), (17, 23)]",3.0,3
23,5,"(14, 8)","(11, 8)","[(14, 8), (13, 8), (12, 8), (11, 8)]",3.0,3
