rank,path_id,start_node,end_node,nodes,cost,time
1,27,"(28, 0)","(25, 0)","[(28, 0), (27, 0), (26, 0), (25, 0)]",3.0,3
2,42,"(28, 0)","(25, 0)","[(28, 0), (27, 0), (26, 0), (25, 0)]",3.0,3
3,21,"(28, 0)","(25, 0)","[(28, 0), (27, 0), (26, 0), (25, 0)]",3.0,3
4,36,"(28, 0)","(25, 0)","[(28, 0), (27, 0), (26, 0), (25, 0)]",3.0,3
5,19,"(28, 0)","(25, 0)","[(28, 0), (27, 0), (26, 0), (25, 0)]",3.0,3
6,16,"(28, 0)","(25, 0)","[(28, 0), (27, 0), (26, 0), (25, 0)]",3.0,3
7,17,"(14, 8)","(11, 8)","[(14, 8), (13, 8), (12, 9), (11, 8)]",3.82842712474619,3
8,11,"(14, 8)","(11, 8)","[(14, 8), (13, 8), (12, 9), (11, 8)]",3.82842712474619,3
9,52,"(14, 8)","(11, 8)","[(14, 8), (13, 8), (12, 9), (11, 8)]",3.8284271247461903,3
10,46,"(14, 8)","(11, 8)","[(14, 8), (13, 8), (12, 9), (11, 8)]",3.8284271247461903,3
11,29,"(20, 23)","(31, 15)","[(20, 23), (21, 23), (22, 23), (23, 22), (24, 22), (25, 22), (26, 21), (27, 21), (28, 20), (28, 19), (29, 18), (30, 17), (30, 16), (31, 15)]",15.485281374238571,13
12,14,"(20, 23)","(31, 15)","[(20, 23), (21, 23), (22, 23), (23, 22), (24, 22), (25, 22), (26, 21), (27, 21), (28, 20), (28, 19), (29, 18), (30, 17), (30, 16), (31, 15)]",15.485281374238573,13
13,12,"(20, 23)","(31, 15)","[(20, 23), (21, 23), (22, 23), (23, 22), (24, 22), (25, 22), (26, 21), (27, 21), (28, 20), (28, 19), (29, 18), (30, 17), (30, 16), (31, 15)]",15.485281374238573,13
14,5,"(0, 16)","(11, 8)","[(0, 16), (1, 16), (2, 15), (3, 15), (4, 16), (5, 15), (6, 14), (7, 13), (8, 13), (9, 13), (10, 12), (11, 12), (12, 11), (11, 10), (11, 9), (11, 8)]",18.313708498984763,15
15,44,"(0, 16)","(11, 8)","[(0, 16), (1, 16), (2, 15), (3, 15), (4, 16), (5, 15), (6, 14), (7, 13), (8, 13), (9, 13), (10, 12), (11, 12), (12, 11), (11, 10), (11, 9), (11, 8)]",18.313708498984763,15
16,43,"(0, 16)","(11, 8)","[(0, 16), (1, 16), (2, 15), (3, 15), (4, 16), (5, 15), (6, 14), (7, 13), (8, 13), (9, 13), (10, 12), (11, 12), (12, 11), (11, 10), (11, 9), (11, 8)]",18.313708498984763,15
17,41,"(0, 16)","(11, 8)","[(0, 16), (1, 16), (2, 15), (3, 15), (4, 16), (5, 15), (6, 14), (7, 13), (8, 13), (9, 13), (10, 12), (11, 12), (12, 11), (11, 10), (11, 9), (11, 8)]",18.313708498984763,15
18,20,"(28, 0)","(31, 15)","[(28, 0), (27, 1), (27, 2), (27, 3), (28, 4), (29, 5), (28, 6), (28, 7), (28, 8), (28, 9), (27, 10), (26, 11), (27, 12), (28, 12), (29, 13), (29, 14), (30, 15), (31, 15)]",20.72792206135786,17
19,30,"(28, 0)","(31, 15)","[(28, 0), (27, 1), (27, 2), (27, 3), (28, 4), (29, 5), (28, 6), (28, 7), (28, 8), (28, 9), (27, 10), (26, 11), (27, 12), (28, 12), (29, 13), (29, 14), (30, 15), (31, 15)]",20.72792206135786,17
20,18,"(28, 0)","(31, 15)","[(28, 0), (27, 1), (27, 2), (27, 3), (28, 4), (29, 5), (28, 6), (28, 7), (28, 8), (28, 9), (27, 10), (26, 11), (27, 12), (28, 12), (29, 13), (29, 14), (30, 15), (31, 15)]",20.72792206135786,17
21,40,"(14, 8)","(17, 23)","[(14, 8), (13, 8), (12, 9), (12, 10), (12, 11), (11, 12), (11, 13), (12, 14), (13, 15), (14, 16), (15, 17), (16, 17), (17, 18), (18, 19), (17, 20), (17, 21), (16, 22), (17, 23)]",21.55634918610405,17
22,10,"(14, 8)","(17, 23)","[(14, 8), (13, 8), (12, 9), (12, 10), (12, 11), (11, 12), (11, 13), (12, 14), (13, 15), (14, 16), (15, 17), (16, 17), (17, 18), (18, 19), (17, 20), (17, 21), (16, 22), (17, 23)]",21.55634918610405,17
23,9,"(14, 8)","(25, 0)","[(14, 8), (13, 7), (12, 6), (13, 5), (14, 4), (14, 3), (15, 2), (16, 1), (17, 2), (18, 3), (19, 4), (20, 5), (21, 5), (22, 4), (22, 3), (23, 2), (24, 1), (25, 0)]",22.798989873223338,17
24,34,"(14, 8)","(25, 0)","[(14, 8), (13, 7), (12, 6), (13, 5), (14, 4), (14, 3), (15, 2), (16, 1), (17, 2), (18, 3), (19, 4), (20, 5), (21, 5), (22, 4), (22, 3), (23, 2), (24, 1), (25, 0)]",22.798989873223338,17
25,6,"(14, 8)","(25, 0)","[(14, 8), (13, 7), (12, 6), (13, 5), (14, 4), (14, 3), (15, 2), (16, 1), (17, 2), (18, 3), (19, 4), (20, 5), (21, 5), (22, 4), (22, 3), (23, 2), (24, 1), (25, 0)]",22.798989873223338,17
26,23,"(28, 0)","(11, 8)","[(28, 0), (27, 1), (27, 2), (27, 3), (26, 4), (26, 5), (25, 6), (24, 7), (24, 8), (23, 9), (22, 9), (21, 10), (20, 10), (19, 11), (18, 11), (17, 11), (16, 11), (15, 11), (14, 11), (13, 10), (12, 9), (11, 8)]",25.142135623730955,21
27,48,"(28, 0)","(11, 8)","[(28, 0), (27, 1), (27, 2), (27, 3), (26, 4), (26, 5), (25, 6), (25, 7), (24, 8), (23, 9), (22, 9), (21, 10), (20, 10), (19, 11), (18, 11), (17, 11), (16, 11), (15, 11), (14, 11), (13, 10), (12, 9), (11, 8)]",25.142135623730955,21
28,8,"(14, 8)","(31, 15)","[(14, 8), (13, 8), (12, 9), (13, 10), (14, 11), (15, 11), (16, 11), (17, 11), (18, 11), (19, 11), (20, 10), (21, 10), (22, 9), (23, 9), (24, 10), (25, 10), (26, 11), (27, 12), (28, 12), (29, 13), (29, 14), (30, 15), (31, 15)]",26.142135623730955,22
29,28,"(14, 8)","(31, 15)","[(14, 8), (13, 8), (12, 9), (13, 10), (14, 11), (15, 11), (16, 11), (17, 11), (18, 11), (19, 11), (20, 10), (21, 10), (22, 9), (23, 9), (24, 10), (25, 10), (26, 11), (27, 12), (28, 12), (29, 13), (29, 14), (30, 15), (31, 15)]",26.142135623730955,22
30,7,"(14, 8)","(31, 15)","[(14, 8), (13, 8), (12, 9), (13, 10), (14, 11), (15, 11), (16, 11), (17, 11), (18, 11), (19, 11), (20, 10), (21, 10), (22, 9), (23, 9), (24, 10), (25, 10), (26, 11), (27, 12), (28, 12), (29, 13), (29, 14), (30, 15), (31, 15)]",26.142135623730955,22
31,38,"(0, 16)","(17, 23)","[(0, 16), (1, 16), (2, 15), (3, 15), (4, 16), (5, 15), (6, 14), (7, 13), (8, 13), (9, 13), (10, 12), (11, 13), (12, 14), (13, 15), (14, 16), (15, 17), (16, 17), (17, 18), (18, 19), (17, 20), (17, 21), (16, 22), (17, 23)]",28.62741699796953,22
32,4,"(0, 16)","(17, 23)","[(0, 16), (1, 16), (2, 15), (3, 15), (4, 16), (5, 15), (6, 14), (7, 13), (8, 13), (9, 13), (10, 12), (11, 13), (12, 14), (13, 15), (14, 16), (15, 17), (16, 17), (17, 18), (18, 19), (17, 20), (17, 21), (16, 22), (17, 23)]",28.62741699796953,22
33,15,"(20, 23)","(25, 0)","[(20, 23), (21, 23), (22, 23), (23, 22), (24, 21), (25, 20), (26, 19), (26, 18), (27, 17), (26, 16), (26, 15), (26, 14), (26, 13), (25, 12), (24, 11), (24, 10), (23, 9), (24, 8), (24, 7), (25, 6), (26, 5), (26, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",30.384776310850242,25
