rank,path_id,start_node,end_node,nodes,cost,time
1,14,"(3, 7)","(3, 7)","[(3, 7)]",0,0
2,18,"(4, 0)","(4, 0)","[(4, 0)]",0,0
3,39,"(4, 0)","(4, 0)","[(4, 0)]",0,0
4,43,"(3, 7)","(3, 7)","[(3, 7)]",0,0
5,10,"(0, 4)","(1, 3)","[(0, 4), (1, 3)]",1.4142135623730951,1
6,22,"(6, 4)","(7, 3)","[(6, 4), (7, 3)]",1.4142135623730951,1
7,35,"(6, 4)","(7, 3)","[(6, 4), (7, 3)]",1.4142135623730951,1
8,47,"(0, 4)","(1, 3)","[(0, 4), (1, 3)]",1.4142135623730951,1
9,5,"(0, 0)","(1, 3)","[(0, 0), (0, 1), (0, 2), (1, 3)]",3.414213562373095,3
10,21,"(6, 4)","(7, 7)","[(6, 4), (6, 5), (6, 6), (7, 7)]",3.414213562373095,3
11,30,"(6, 4)","(7, 7)","[(6, 4), (6, 5), (6, 6), (7, 7)]",3.414213562373095,3
12,46,"(0, 0)","(1, 3)","[(0, 0), (0, 1), (0, 2), (1, 3)]",3.414213562373095,3
13,28,"(3, 7)","(7, 7)","[(3, 7), (4, 7), (5, 7), (6, 7), (7, 7)]",4.0,4
14,36,"(0, 0)","(4, 0)","[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0)]",4.0,4
15,3,"(0, 0)","(4, 0)","[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0)]",4.0,4
16,11,"(3, 7)","(7, 7)","[(3, 7), (4, 7), (5, 7), (6, 7), (7, 7)]",4.0,4
17,9,"(0, 4)","(3, 7)","[(0, 4), (1, 5), (2, 6), (3, 7)]",4.242640687119286,3
18,17,"(4, 0)","(7, 3)","[(4, 0), (5, 1), (6, 2), (7, 3)]",4.242640687119286,3
19,20,"(4, 0)","(1, 3)","[(4, 0), (3, 1), (2, 2), (1, 3)]",4.242640687119286,3
20,24,"(6, 4)","(3, 7)","[(6, 4), (5, 5), (4, 6), (3, 7)]",4.242640687119286,3
21,34,"(4, 0)","(7, 3)","[(4, 0), (5, 1), (6, 2), (7, 3)]",4.242640687119286,3
22,42,"(0, 4)","(3, 7)","[(0, 4), (1, 5), (2, 6), (3, 7)]",4.242640687119286,3
23,45,"(6, 4)","(3, 7)","[(6, 4), (5, 5), (4, 6), (3, 7)]",4.242640687119286,3
24,49,"(4, 0)","(1, 3)","[(4, 0), (3, 1), (2, 2), (1, 3)]",4.242640687119286,3
25,15,"(3, 7)","(1, 3)","[(3, 7), (2, 6), (2, 5), (1, 4), (1, 3)]",4.82842712474619,4
26,23,"(6, 4)","(4, 0)","[(6, 4), (5, 3), (5, 2), (4, 1), (4, 0)]",4.82842712474619,4
27,40,"(6, 4)","(4, 0)","[(6, 4), (5, 3), (4, 2), (4, 1), (4, 0)]",4.82842712474619,4
28,48,"(3, 7)","(1, 3)","[(3, 7), (2, 6), (1, 5), (1, 4), (1, 3)]",4.82842712474619,4
29,25,"(6, 4)","(1, 3)","[(6, 4), (5, 3), (4, 3), (3, 3), (2, 3), (1, 3)]",5.414213562373095,5
30,50,"(6, 4)","(1, 3)","[(6, 4), (5, 3), (4, 3), (3, 3), (2, 3), (1, 3)]",5.414213562373095,5
31,8,"(0, 4)","(4, 0)","[(0, 4), (1, 3), (2, 2), (3, 1), (4, 0)]",5.656854249492381,4
32,12,"(3, 7)","(7, 3)","[(3, 7), (4, 6), (5, 5), (6, 4), (7, 3)]",5.656854249492381,4
33,33,"(3, 7)","(7, 3)","[(3, 7), (4, 6), (5, 5), (6, 4), (7, 3)]",5.656854249492381,4
34,37,"(0, 4)","(4, 0)","[(0, 4), (1, 3), (2, 2), (3, 1), (4, 0)]",5.656854249492381,4
35,7,"(0, 4)","(7, 3)","[(0, 4), (1, 3), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3), (7, 3)]",7.414213562373095,7
36,13,"(3, 7)","(4, 0)","[(3, 7), (3, 6), (3, 5), (3, 4), (3, 3), (3, 2), (3, 1), (4, 0)]",7.414213562373095,7
37,19,"(4, 0)","(3, 7)","[(4, 0), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5), (3, 6), (3, 7)]",7.414213562373095,7
38,32,"(0, 4)","(7, 3)","[(0, 4), (1, 3), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3), (7, 3)]",7.414213562373095,7
39,38,"(3, 7)","(4, 0)","[(3, 7), (3, 6), (3, 5), (3, 4), (3, 3), (3, 2), (3, 1), (4, 0)]",7.414213562373095,7
40,44,"(4, 0)","(3, 7)","[(4, 0), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5), (3, 6), (3, 7)]",7.414213562373095,7
41,2,"(0, 0)","(7, 3)","[(0, 0), (1, 0), (2, 0), (3, 0), (4, 1), (5, 2), (6, 3), (7, 3)]",8.242640687119284,7
42,4,"(0, 0)","(3, 7)","[(0, 0), (0, 1), (0, 2), (0, 3), (1, 4), (2, 5), (3, 6), (3, 7)]",8.242640687119284,7
43,6,"(0, 4)","(7, 7)","[(0, 4), (1, 4), (2, 4), (3, 4), (4, 5), (5, 6), (6, 7), (7, 7)]",8.242640687119284,7
44,16,"(4, 0)","(7, 7)","[(4, 0), (4, 1), (4, 2), (4, 3), (5, 4), (6, 5), (7, 6), (7, 7)]",8.242640687119284,7
45,27,"(0, 4)","(7, 7)","[(0, 4), (1, 4), (2, 4), (3, 4), (4, 5), (5, 6), (6, 6), (7, 7)]",8.242640687119284,7
46,29,"(4, 0)","(7, 7)","[(4, 0), (4, 1), (4, 2), (4, 3), (5, 4), (6, 5), (6, 6), (7, 7)]",8.242640687119284,7
47,31,"(0, 0)","(7, 3)","[(0, 0), (1, 0), (2, 0), (3, 0), (4, 1), (5, 2), (6, 2), (7, 3)]",8.242640687119284,7
48,41,"(0, 0)","(3, 7)","[(0, 0), (0, 1), (0, 2), (0, 3), (1, 4), (2, 5), (2, 6), (3, 7)]",8.242640687119284,7
49,1,"(0, 0)","(7, 7)","[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)]",9.899494936611667,7
50,26,"(0, 0)","(7, 7)","[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)]",9.899494936611667,7
