time_step,path_id,nodes,cost,time,completed
1,1,"[(0, 0), (0, 1)]",1.0,1,False
1,2,"[(0, 0), (0, 1)]",1.0,1,False
1,3,"[(0, 0), (0, 1)]",1.0,1,False
1,4,"[(0, 0), (0, 1)]",1.0,1,False
1,5,"[(0, 0), (0, 1)]",1.0,1,False
1,6,"[(0, 4), (0, 3)]",1.0,1,False
1,7,"[(0, 4), (0, 3)]",1.0,1,False
1,8,"[(0, 4), (0, 3)]",1.0,1,False
1,9,"[(0, 4), (0, 3)]",1.0,1,False
1,10,"[(0, 4), (0, 3)]",1.0,1,False
1,11,"[(3, 7), (2, 7)]",1.0,1,False
1,12,"[(3, 7), (2, 7)]",1.0,1,False
1,13,"[(3, 7), (2, 7)]",1.0,1,False
1,14,"[(3, 7)]",0,0,True
1,15,"[(3, 7), (2, 7)]",1.0,1,False
1,16,"[(4, 0), (3, 0)]",1.0,1,False
1,17,"[(4, 0), (3, 0)]",1.0,1,False
1,18,"[(4, 0)]",0,0,True
1,19,"[(4, 0), (3, 0)]",1.0,1,False
1,20,"[(4, 0), (3, 0)]",1.0,1,False
1,21,"[(6, 4), (5, 4)]",1.0,1,False
1,22,"[(6, 4), (5, 4)]",1.0,1,False
1,23,"[(6, 4), (5, 4)]",1.0,1,False
1,24,"[(6, 4), (5, 4)]",1.0,1,False
1,25,"[(6, 4), (5, 4)]",1.0,1,False
1,26,"[(6, 7), (7, 7)]",1.0,1,False
1,27,"[(6, 7), (7, 7)]",1.0,1,False
1,28,"[(6, 7), (7, 7)]",1.0,1,False
1,29,"[(6, 7), (7, 7)]",1.0,1,False
1,30,"[(6, 7), (7, 7)]",1.0,1,False
1,31,"[(6, 3), (7, 3)]",1.0,1,False
1,32,"[(6, 3), (7, 3)]",1.0,1,False
1,33,"[(6, 3), (7, 3)]",1.0,1,False
1,34,"[(6, 3), (7, 3)]",1.0,1,False
1,35,"[(6, 3), (7, 3)]",1.0,1,False
1,36,"[(3, 0), (4, 0)]",1.0,1,False
1,37,"[(3, 0), (4, 0)]",1.0,1,False
1,38,"[(3, 0), (4, 0)]",1.0,1,False
1,39,"[(4, 0)]",0,0,True
1,40,"[(3, 0), (4, 0)]",1.0,1,False
1,41,"[(2, 7), (3, 7)]",1.0,1,False
1,42,"[(2, 7), (3, 7)]",1.0,1,False
1,43,"[(3, 7)]",0,0,True
1,44,"[(2, 7), (3, 7)]",1.0,1,False
1,45,"[(2, 7), (3, 7)]",1.0,1,False
1,46,"[(0, 3), (1, 3)]",1.0,1,False
1,47,"[(0, 3), (1, 3)]",1.0,1,False
1,48,"[(0, 3), (1, 3)]",1.0,1,False
1,49,"[(0, 3), (1, 3)]",1.0,1,False
1,50,"[(0, 3), (1, 3)]",1.0,1,False
2,1,"[(0, 0), (0, 1), (0, 2)]",2.0,2,False
2,2,"[(0, 0), (0, 1), (0, 2)]",2.0,2,False
2,3,"[(0, 0), (0, 1), (0, 2)]",2.0,2,False
2,4,"[(0, 0), (0, 1), (0, 2)]",2.0,2,False
2,5,"[(0, 0), (0, 1), (0, 2)]",2.0,2,False
2,6,"[(0, 4), (0, 3), (0, 2)]",2.0,2,False
2,7,"[(0, 4), (0, 3), (0, 2)]",2.0,2,False
2,8,"[(0, 4), (0, 3), (0, 2)]",2.0,2,False
2,9,"[(0, 4), (0, 3), (0, 2)]",2.0,2,False
2,10,"[(0, 4), (1, 3)]",1.4142135623730951,1,True
2,11,"[(3, 7), (2, 7), (1, 7)]",2.0,2,False
2,12,"[(3, 7), (2, 7), (1, 7)]",2.0,2,False
2,13,"[(3, 7), (2, 7), (1, 7)]",2.0,2,False
2,15,"[(3, 7), (2, 7), (1, 7)]",2.0,2,False
2,16,"[(4, 0), (3, 0), (2, 0)]",2.0,2,False
2,17,"[(4, 0), (3, 0), (2, 0)]",2.0,2,False
2,19,"[(4, 0), (3, 0), (2, 0)]",2.0,2,False
2,20,"[(4, 0), (3, 0), (2, 0)]",2.0,2,False
2,21,"[(6, 4), (5, 4), (4, 4)]",2.0,2,False
2,22,"[(6, 4), (7, 3)]",1.4142135623730951,1,True
2,23,"[(6, 4), (5, 4), (4, 4)]",2.0,2,False
2,24,"[(6, 4), (5, 4), (4, 4)]",2.0,2,False
2,25,"[(6, 4), (5, 4), (4, 4)]",2.0,2,False
2,26,"[(5, 7), (6, 7), (7, 7)]",2.0,2,False
2,27,"[(5, 7), (6, 7), (7, 7)]",2.0,2,False
2,28,"[(5, 7), (6, 7), (7, 7)]",2.0,2,False
2,29,"[(5, 7), (6, 7), (7, 7)]",2.0,2,False
2,30,"[(5, 7), (6, 7), (7, 7)]",2.0,2,False
2,31,"[(5, 3), (6, 3), (7, 3)]",2.0,2,False
2,32,"[(5, 3), (6, 3), (7, 3)]",2.0,2,False
2,33,"[(5, 3), (6, 3), (7, 3)]",2.0,2,False
2,34,"[(5, 3), (6, 3), (7, 3)]",2.0,2,False
2,35,"[(6, 4), (7, 3)]",1.4142135623730951,1,True
2,36,"[(2, 0), (3, 0), (4, 0)]",2.0,2,False
2,37,"[(2, 0), (3, 0), (4, 0)]",2.0,2,False
2,38,"[(2, 0), (3, 0), (4, 0)]",2.0,2,False
2,40,"[(2, 0), (3, 0), (4, 0)]",2.0,2,False
2,41,"[(1, 7), (2, 7), (3, 7)]",2.0,2,False
2,42,"[(1, 7), (2, 7), (3, 7)]",2.0,2,False
2,44,"[(1, 7), (2, 7), (3, 7)]",2.0,2,False
2,45,"[(1, 7), (2, 7), (3, 7)]",2.0,2,False
2,46,"[(1, 1), (1, 2), (1, 3)]",2.0,2,False
2,47,"[(0, 4), (1, 3)]",1.4142135623730951,1,True
2,48,"[(1, 1), (1, 2), (1, 3)]",2.0,2,False
2,49,"[(1, 1), (1, 2), (1, 3)]",2.0,2,False
2,50,"[(1, 1), (1, 2), (1, 3)]",2.0,2,False
3,1,"[(0, 0), (0, 1), (0, 2), (0, 3)]",3.0,3,False
3,2,"[(0, 0), (0, 1), (0, 2), (0, 3)]",3.0,3,False
3,3,"[(0, 0), (0, 1), (0, 2), (0, 3)]",3.0,3,False
3,4,"[(0, 0), (0, 1), (0, 2), (0, 3)]",3.0,3,False
3,5,"[(0, 0), (0, 1), (0, 2), (0, 3)]",3.0,3,False
3,6,"[(0, 4), (0, 3), (0, 2), (0, 1)]",3.0,3,False
3,7,"[(0, 4), (0, 3), (0, 2), (0, 1)]",3.0,3,False
3,8,"[(0, 4), (0, 3), (0, 2), (0, 1)]",3.0,3,False
3,9,"[(0, 4), (0, 3), (0, 2), (0, 1)]",3.0,3,False
3,11,"[(3, 7), (2, 7), (1, 7), (0, 7)]",3.0,3,False
3,12,"[(3, 7), (2, 7), (1, 7), (0, 7)]",3.0,3,False
3,13,"[(3, 7), (2, 7), (1, 7), (0, 7)]",3.0,3,False
3,15,"[(3, 7), (2, 7), (1, 7), (0, 7)]",3.0,3,False
3,16,"[(4, 0), (3, 0), (2, 0), (1, 0)]",3.0,3,False
3,17,"[(4, 0), (3, 0), (2, 0), (1, 0)]",3.0,3,False
3,19,"[(4, 0), (3, 0), (2, 0), (1, 0)]",3.0,3,False
3,20,"[(4, 0), (3, 0), (2, 0), (1, 0)]",3.0,3,False
3,21,"[(6, 4), (5, 4), (4, 4), (3, 4)]",3.0,3,False
3,23,"[(6, 4), (5, 4), (4, 4), (3, 4)]",3.0,3,False
3,24,"[(6, 4), (5, 4), (4, 4), (3, 4)]",3.0,3,False
3,25,"[(6, 4), (5, 4), (4, 4), (3, 4)]",3.0,3,False
3,26,"[(4, 7), (5, 7), (6, 7), (7, 7)]",3.0,3,False
3,27,"[(4, 7), (5, 7), (6, 7), (7, 7)]",3.0,3,False
3,28,"[(4, 7), (5, 7), (6, 7), (7, 7)]",3.0,3,False
3,29,"[(4, 7), (5, 7), (6, 7), (7, 7)]",3.0,3,False
3,30,"[(4, 7), (5, 7), (6, 7), (7, 7)]",3.0,3,False
3,31,"[(4, 3), (5, 3), (6, 3), (7, 3)]",3.0,3,False
3,32,"[(4, 3), (5, 3), (6, 3), (7, 3)]",3.0,3,False
3,33,"[(4, 3), (5, 3), (6, 3), (7, 3)]",3.0,3,False
3,34,"[(4, 3), (5, 3), (6, 3), (7, 3)]",3.0,3,False
3,36,"[(1, 0), (2, 0), (3, 0), (4, 0)]",3.0,3,False
