time_step,path_id,nodes,cost,time,completed
1,1,"[(0, 0), (0, 1)]",1.0,1,False
1,2,"[(14, 15), (15, 15)]",1.0,1,False
2,1,"[(0, 0), (0, 1), (0, 2)]",2.0,2,False
2,2,"[(13, 15), (14, 15), (15, 15)]",2.0,2,False
3,1,"[(0, 0), (0, 1), (0, 2), (0, 3)]",3.0,3,False
3,2,"[(12, 15), (13, 15), (14, 15), (15, 15)]",3.0,3,False
4,1,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4)]",4.0,4,False
4,2,"[(11, 15), (12, 15), (13, 15), (14, 15), (15, 15)]",4.0,4,False
5,1,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5)]",5.0,5,False
5,2,"[(10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15)]",5.0,5,False
6,1,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6)]",6.0,6,False
6,2,"[(9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15)]",6.0,6,False
7,1,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7)]",7.0,7,False
7,2,"[(8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15)]",7.0,7,False
8,1,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8)]",8.0,8,False
8,2,"[(7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15)]",8.0,8,False
9,1,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9)]",9.0,9,False
9,2,"[(6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15)]",9.0,9,False
10,1,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10)]",10.0,10,False
10,2,"[(5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15)]",10.0,10,False
11,1,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11)]",11.0,11,False
11,2,"[(4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15)]",11.0,11,False
12,1,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12)]",12.0,12,False
12,2,"[(3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15)]",12.0,12,False
13,1,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13)]",13.0,13,False
13,2,"[(2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15)]",13.0,13,False
14,1,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14)]",14.0,14,False
14,2,"[(1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15)]",14.0,14,False
15,1,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15)]",15.0,15,False
15,2,"[(0, 15), (1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15)]",15.0,15,False
16,1,"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (8, 8), (9, 9), (10, 10), (11, 11), (12, 12), (13, 13), (14, 14), (15, 15)]",21.213203435596434,15,True
16,2,"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (8, 8), (9, 9), (10, 10), (11, 11), (12, 12), (13, 13), (14, 14), (15, 15)]",21.213203435596434,15,True
