rank,path_id,start_node,end_node,nodes,cost,time
1,18,"(4, 15)","(1, 15)","[(4, 15), (3, 15), (2, 14), (1, 15)]",3.82842712474619,3
2,54,"(14, 0)","(11, 0)","[(14, 0), (13, 1), (12, 0), (11, 0)]",3.82842712474619,3
3,59,"(11, 11)","(8, 11)","[(11, 11), (10, 10), (9, 11), (8, 11)]",3.82842712474619,3
4,64,"(7, 4)","(4, 4)","[(7, 4), (6, 5), (5, 4), (4, 4)]",3.82842712474619,3
5,69,"(4, 15)","(1, 15)","[(4, 15), (3, 15), (2, 14), (1, 15)]",3.8284271247461903,3
6,23,"(7, 4)","(4, 4)","[(7, 4), (6, 5), (5, 4), (4, 4)]",3.8284271247461903,3
7,28,"(11, 11)","(8, 11)","[(11, 11), (10, 10), (9, 11), (8, 11)]",3.8284271247461903,3
8,33,"(14, 0)","(11, 0)","[(14, 0), (13, 1), (12, 0), (11, 0)]",3.8284271247461903,3
9,11,"(0, 8)","(4, 4)","[(0, 8), (0, 7), (1, 6), (2, 5), (3, 5), (4, 4)]",6.242640687119285,5
10,62,"(0, 8)","(4, 4)","[(0, 8), (0, 7), (1, 6), (2, 5), (3, 5), (4, 4)]",6.242640687119285,5
11,25,"(11, 11)","(15, 15)","[(11, 11), (11, 12), (11, 13), (12, 14), (13, 14), (14, 15), (15, 15)]",6.82842712474619,6
12,26,"(11, 11)","(15, 7)","[(11, 11), (12, 11), (13, 10), (13, 9), (13, 8), (14, 7), (15, 7)]",6.82842712474619,6
13,41,"(11, 11)","(15, 15)","[(11, 11), (11, 12), (11, 13), (12, 14), (13, 14), (14, 15), (15, 15)]",6.82842712474619,6
14,47,"(11, 11)","(15, 7)","[(11, 11), (12, 11), (13, 10), (13, 9), (13, 8), (14, 7), (15, 7)]",6.82842712474619,6
15,32,"(14, 0)","(15, 7)","[(14, 0), (14, 1), (14, 2), (14, 3), (14, 4), (14, 5), (15, 6), (15, 7)]",7.414213562373095,7
16,48,"(14, 0)","(15, 7)","[(14, 0), (14, 1), (14, 2), (14, 3), (14, 4), (14, 5), (15, 6), (15, 7)]",7.414213562373095,7
17,5,"(0, 0)","(4, 4)","[(0, 0), (1, 1), (0, 2), (1, 3), (1, 4), (2, 5), (3, 5), (4, 4)]",9.071067811865476,7
18,61,"(0, 0)","(4, 4)","[(0, 0), (1, 1), (0, 2), (1, 3), (1, 4), (2, 5), (3, 5), (4, 4)]",9.071067811865476,7
19,22,"(7, 4)","(8, 11)","[(7, 4), (6, 5), (6, 6), (5, 7), (6, 8), (7, 8), (8, 8), (9, 9), (8, 10), (8, 11)]",11.071067811865476,9
20,29,"(11, 11)","(4, 4)","[(11, 11), (10, 10), (9, 9), (8, 8), (7, 8), (6, 8), (5, 7), (4, 6), (4, 5), (4, 4)]",11.071067811865476,9
21,58,"(7, 4)","(8, 11)","[(7, 4), (6, 5), (5, 6), (5, 7), (6, 8), (7, 8), (8, 8), (9, 9), (8, 10), (8, 11)]",11.071067811865476,9
22,65,"(11, 11)","(4, 4)","[(11, 11), (10, 10), (9, 9), (8, 8), (7, 8), (6, 8), (5, 7), (4, 6), (4, 5), (4, 4)]",11.071067811865477,9
23,17,"(4, 15)","(4, 4)","[(4, 15), (4, 14), (4, 13), (5, 12), (4, 11), (3, 10), (4, 9), (4, 8), (4, 7), (4, 6), (4, 5), (4, 4)]",12.65685424949238,11
24,56,"(0, 8)","(8, 11)","[(0, 8), (1, 8), (2, 8), (3, 8), (4, 7), (5, 7), (6, 8), (7, 8), (8, 8), (9, 9), (8, 10), (8, 11)]",12.65685424949238,11
25,63,"(4, 15)","(4, 4)","[(4, 15), (4, 14), (4, 13), (5, 12), (4, 11), (3, 10), (4, 9), (4, 8), (4, 7), (4, 6), (4, 5), (4, 4)]",12.656854249492381,11
26,10,"(0, 8)","(8, 11)","[(0, 8), (1, 8), (2, 8), (3, 8), (4, 7), (5, 7), (6, 8), (7, 8), (8, 8), (9, 9), (8, 10), (8, 11)]",12.656854249492381,11
27,57,"(4, 15)","(8, 11)","[(4, 15), (4, 14), (4, 13), (5, 12), (5, 11), (6, 10), (6, 9), (7, 8), (8, 8), (9, 9), (8, 10), (8, 11)]",13.071067811865476,11
28,16,"(4, 15)","(8, 11)","[(4, 15), (4, 14), (4, 13), (5, 12), (5, 11), (6, 10), (6, 9), (7, 8), (8, 8), (9, 9), (8, 10), (8, 11)]",13.071067811865477,11
29,68,"(0, 8)","(1, 15)","[(0, 8), (1, 8), (2, 9), (3, 10), (4, 11), (5, 12), (4, 13), (4, 14), (3, 15), (2, 14), (1, 15)]",13.313708498984763,10
30,12,"(0, 8)","(1, 15)","[(0, 8), (1, 8), (2, 9), (3, 10), (4, 11), (5, 12), (4, 13), (4, 14), (3, 15), (2, 14), (1, 15)]",13.313708498984763,10
31,60,"(14, 0)","(8, 11)","[(14, 0), (14, 1), (14, 2), (14, 3), (13, 4), (13, 5), (12, 6), (11, 6), (10, 7), (9, 8), (9, 9), (8, 10), (8, 11)]",14.071067811865476,12
32,34,"(14, 0)","(8, 11)","[(14, 0), (14, 1), (14, 2), (14, 3), (13, 4), (13, 5), (12, 6), (11, 6), (10, 7), (9, 8), (9, 9), (8, 10), (8, 11)]",14.071067811865477,12
33,27,"(11, 11)","(11, 0)","[(11, 11), (12, 11), (13, 10), (13, 9), (13, 8), (12, 7), (13, 6), (13, 5), (13, 4), (14, 3), (14, 2), (13, 1), (12, 0), (11, 0)]",15.485281374238571,13
34,20,"(7, 4)","(15, 7)","[(7, 4), (6, 5), (6, 6), (5, 7), (6, 8), (7, 8), (8, 8), (9, 7), (10, 6), (11, 6), (12, 6), (13, 6), (14, 7), (15, 7)]",15.485281374238571,13
35,46,"(7, 4)","(15, 7)","[(7, 4), (6, 5), (5, 6), (5, 7), (6, 8), (7, 8), (8, 8), (9, 8), (10, 7), (11, 6), (12, 6), (13, 6), (14, 7), (15, 7)]",15.485281374238571,13
36,53,"(11, 11)","(11, 0)","[(11, 11), (12, 11), (13, 10), (13, 9), (13, 8), (12, 7), (12, 6), (13, 5), (13, 4), (14, 3), (14, 2), (13, 1), (12, 0), (11, 0)]",15.485281374238571,13
37,24,"(7, 4)","(1, 15)","[(7, 4), (6, 5), (6, 6), (5, 7), (6, 8), (6, 9), (6, 10), (5, 11), (5, 12), (4, 13), (4, 14), (3, 15), (2, 14), (1, 15)]",16.313708498984763,13
38,70,"(7, 4)","(1, 15)","[(7, 4), (6, 5), (5, 6), (5, 7), (6, 8), (6, 9), (6, 10), (5, 11), (5, 12), (4, 13), (4, 14), (3, 15), (2, 14), (1, 15)]",16.313708498984763,13
39,30,"(11, 11)","(1, 15)","[(11, 11), (10, 10), (9, 9), (8, 8), (7, 8), (6, 9), (6, 10), (5, 11), (5, 12), (4, 13), (4, 14), (3, 15), (2, 14), (1, 15)]",16.72792206135786,13
40,71,"(11, 11)","(1, 15)","[(11, 11), (10, 10), (9, 9), (8, 8), (7, 8), (6, 9), (6, 10), (5, 11), (5, 12), (4, 13), (4, 14), (3, 15), (2, 14), (1, 15)]",16.72792206135786,13
41,44,"(0, 8)","(15, 7)","[(0, 8), (1, 8), (2, 8), (3, 8), (4, 7), (5, 7), (6, 8), (7, 8), (8, 8), (9, 8), (10, 7), (11, 6), (12, 6), (13, 6), (14, 7), (15, 7)]",17.071067811865476,15
42,8,"(0, 8)","(15, 7)","[(0, 8), (1, 8), (2, 8), (3, 8), (4, 7), (5, 7), (6, 8), (7, 8), (8, 8), (9, 7), (10, 6), (11, 6), (12, 6), (13, 6), (14, 7), (15, 7)]",17.071067811865476,15
43,14,"(4, 15)","(15, 7)","[(4, 15), (4, 14), (4, 13), (5, 12), (5, 11), (6, 10), (6, 9), (7, 8), (8, 8), (9, 7), (10, 6), (11, 6), (12, 6), (13, 6), (14, 7), (15, 7)]",17.48528137423857,15
44,45,"(4, 15)","(15, 7)","[(4, 15), (4, 14), (4, 13), (5, 12), (5, 11), (6, 10), (6, 9), (7, 8), (8, 8), (9, 8), (10, 7), (11, 6), (12, 6), (13, 6), (14, 7), (15, 7)]",17.48528137423857,15
45,4,"(0, 0)","(8, 11)","[(0, 0), (1, 1), (0, 2), (1, 3), (1, 4), (2, 5), (3, 5), (4, 6), (5, 7), (6, 8), (7, 8), (8, 8), (9, 9), (8, 10), (8, 11)]",17.72792206135786,14
46,55,"(0, 0)","(8, 11)","[(0, 0), (1, 1), (0, 2), (1, 3), (1, 4), (2, 5), (3, 5), (4, 6), (5, 7), (6, 8), (7, 8), (8, 8), (9, 9), (8, 10), (8, 11)]",17.72792206135786,14
47,19,"(7, 4)","(15, 15)","[(7, 4), (6, 5), (6, 6), (5, 7), (6, 8), (7, 8), (8, 8), (9, 9), (10, 10), (11, 11), (11, 12), (11, 13), (12, 14), (13, 14), (14, 15), (15, 15)]",18.313708498984763,15
48,40,"(7, 4)","(15, 15)","[(7, 4), (6, 5), (5, 6), (5, 7), (6, 8), (7, 8), (8, 8), (9, 9), (10, 10), (11, 11), (11, 12), (11, 13), (12, 14), (13, 14), (14, 15), (15, 15)]",18.313708498984763,15
49,35,"(14, 0)","(4, 4)","[(14, 0), (14, 1), (14, 2), (14, 3), (13, 4), (13, 5), (12, 6), (11, 6), (10, 6), (9, 7), (8, 8), (7, 8), (6, 8), (5, 7), (4, 6), (4, 5), (4, 4)]",18.48528137423857,16
50,42,"(14, 0)","(15, 15)","[(14, 0), (14, 1), (14, 2), (14, 3), (13, 4), (13, 5), (12, 6), (12, 7), (13, 8), (13, 9), (13, 10), (14, 11), (14, 12), (13, 13), (13, 14), (14, 15), (15, 15)]",18.48528137423857,16
51,31,"(14, 0)","(15, 15)","[(14, 0), (14, 1), (14, 2), (14, 3), (13, 4), (13, 5), (12, 6), (12, 7), (13, 8), (13, 9), (13, 10), (14, 11), (14, 12), (13, 13), (13, 14), (14, 15), (15, 15)]",18.48528137423857,16
52,66,"(14, 0)","(4, 4)","[(14, 0), (14, 1), (14, 2), (14, 3), (13, 4), (13, 5), (12, 6), (11, 6), (10, 6), (9, 7), (8, 8), (7, 8), (6, 8), (5, 7), (4, 6), (4, 5), (4, 4)]",18.485281374238575,16
53,38,"(0, 8)","(15, 15)","[(0, 8), (1, 8), (2, 8), (3, 8), (4, 7), (5, 7), (6, 8), (7, 8), (8, 8), (9, 9), (10, 10), (11, 11), (11, 12), (11, 13), (12, 14), (13, 14), (14, 15), (15, 15)]",19.899494936611667,17
54,7,"(0, 8)","(15, 15)","[(0, 8), (1, 8), (2, 8), (3, 8), (4, 7), (5, 7), (6, 8), (7, 8), (8, 8), (9, 9), (10, 10), (11, 11), (11, 12), (11, 13), (12, 14), (13, 14), (14, 15), (15, 15)]",19.899494936611667,17
55,13,"(4, 15)","(15, 15)","[(4, 15), (4, 14), (4, 13), (5, 12), (5, 11), (6, 10), (6, 9), (7, 8), (8, 8), (9, 9), (10, 10), (11, 11), (11, 12), (11, 13), (12, 14), (13, 14), (14, 15), (15, 15)]",20.313708498984763,17
56,39,"(4, 15)","(15, 15)","[(4, 15), (4, 14), (4, 13), (5, 12), (5, 11), (6, 10), (6, 9), (7, 8), (8, 8), (9, 9), (10, 10), (11, 11), (11, 12), (11, 13), (12, 14), (13, 14), (14, 15), (15, 15)]",20.313708498984763,17
57,21,"(7, 4)","(11, 0)","[(7, 4), (6, 5), (6, 6), (5, 7), (6, 8), (7, 8), (8, 8), (9, 7), (10, 6), (11, 6), (12, 6), (13, 5), (13, 4), (14, 3), (14, 2), (13, 1), (12, 0), (11, 0)]",20.72792206135786,17
58,52,"(7, 4)","(11, 0)","[(7, 4), (6, 5), (5, 6), (5, 7), (6, 8), (7, 8), (8, 8), (9, 7), (10, 6), (11, 6), (12, 6), (13, 5), (13, 4), (14, 3), (14, 2), (13, 1), (12, 0), (11, 0)]",20.72792206135786,17
59,2,"(0, 0)","(15, 7)","[(0, 0), (1, 1), (0, 2), (1, 3), (1, 4), (2, 5), (3, 5), (4, 6), (5, 7), (6, 8), (7, 8), (8, 8), (9, 7), (10, 6), (11, 6), (12, 6), (13, 6), (14, 7), (15, 7)]",22.142135623730955,18
60,43,"(0, 0)","(15, 7)","[(0, 0), (1, 1), (0, 2), (1, 3), (1, 4), (2, 5), (3, 5), (4, 6), (5, 7), (6, 8), (7, 8), (8, 8), (9, 8), (10, 7), (11, 6), (12, 6), (13, 6), (14, 7), (15, 7)]",22.142135623730955,18
