rank,path_id,start_node,end_node,nodes,cost,time
1,18,"(4, 15)","(1, 15)","[(4, 15), (3, 15), (2, 15), (1, 15)]",3.0,3
2,23,"(7, 4)","(4, 4)","[(7, 4), (6, 4), (5, 4), (4, 4)]",3.0,3
3,28,"(11, 11)","(8, 11)","[(11, 11), (10, 11), (9, 11), (8, 11)]",3.0,3
4,33,"(14, 0)","(11, 0)","[(14, 0), (13, 0), (12, 0), (11, 0)]",3.0,3
5,54,"(14, 0)","(11, 0)","[(14, 0), (13, 0), (12, 0), (11, 0)]",3.0,3
6,59,"(11, 11)","(8, 11)","[(11, 11), (10, 11), (9, 11), (8, 11)]",3.0,3
7,64,"(7, 4)","(4, 4)","[(7, 4), (6, 4), (5, 4), (4, 4)]",3.0,3
8,69,"(4, 15)","(1, 15)","[(4, 15), (3, 15), (2, 15), (1, 15)]",3.0,3
9,5,"(0, 0)","(4, 4)","[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)]",5.656854249492381,4
10,11,"(0, 8)","(4, 4)","[(0, 8), (1, 7), (2, 6), (3, 5), (4, 4)]",5.656854249492381,4
11,16,"(4, 15)","(8, 11)","[(4, 15), (5, 14), (6, 13), (7, 12), (8, 11)]",5.656854249492381,4
12,21,"(7, 4)","(11, 0)","[(7, 4), (8, 3), (9, 2), (10, 1), (11, 0)]",5.656854249492381,4
13,25,"(11, 11)","(15, 15)","[(11, 11), (12, 12), (13, 13), (14, 14), (15, 15)]",5.656854249492381,4
14,26,"(11, 11)","(15, 7)","[(11, 11), (12, 10), (13, 9), (14, 8), (15, 7)]",5.656854249492381,4
15,41,"(11, 11)","(15, 15)","[(11, 11), (12, 12), (13, 13), (14, 14), (15, 15)]",5.656854249492381,4
16,47,"(11, 11)","(15, 7)","[(11, 11), (12, 10), (13, 9), (14, 8), (15, 7)]",5.656854249492381,4
17,52,"(7, 4)","(11, 0)","[(7, 4), (8, 3), (9, 2), (10, 1), (11, 0)]",5.656854249492381,4
18,57,"(4, 15)","(8, 11)","[(4, 15), (5, 14), (6, 13), (7, 12), (8, 11)]",5.656854249492381,4
19,61,"(0, 0)","(4, 4)","[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)]",5.656854249492381,4
20,62,"(0, 8)","(4, 4)","[(0, 8), (1, 7), (2, 6), (3, 5), (4, 4)]",5.656854249492381,4
21,12,"(0, 8)","(1, 15)","[(0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (1, 15)]",7.414213562373095,7
22,22,"(7, 4)","(8, 11)","[(7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (8, 11)]",7.414213562373095,7
23,32,"(14, 0)","(15, 7)","[(14, 0), (14, 1), (14, 2), (14, 3), (14, 4), (14, 5), (14, 6), (15, 7)]",7.414213562373095,7
24,48,"(14, 0)","(15, 7)","[(14, 0), (14, 1), (14, 2), (14, 3), (14, 4), (14, 5), (14, 6), (15, 7)]",7.414213562373095,7
25,58,"(7, 4)","(8, 11)","[(7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (8, 11)]",7.414213562373095,7
26,68,"(0, 8)","(1, 15)","[(0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (1, 15)]",7.414213562373095,7
27,10,"(0, 8)","(8, 11)","[(0, 8), (1, 8), (2, 8), (3, 8), (4, 9), (5, 10), (6, 11), (7, 11), (8, 11)]",9.242640687119284,8
28,20,"(7, 4)","(15, 7)","[(7, 4), (8, 4), (9, 4), (10, 4), (11, 5), (12, 6), (13, 7), (14, 7), (15, 7)]",9.242640687119284,8
29,46,"(7, 4)","(15, 7)","[(7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 5), (13, 6), (14, 6), (15, 7)]",9.242640687119284,8
30,56,"(0, 8)","(8, 11)","[(0, 8), (1, 8), (2, 8), (3, 8), (4, 8), (5, 9), (6, 10), (7, 10), (8, 11)]",9.242640687119284,8
31,29,"(11, 11)","(4, 4)","[(11, 11), (10, 10), (9, 9), (8, 8), (7, 7), (6, 6), (5, 5), (4, 4)]",9.899494936611667,7
32,65,"(11, 11)","(4, 4)","[(11, 11), (10, 10), (9, 9), (8, 8), (7, 7), (6, 6), (5, 5), (4, 4)]",9.899494936611667,7
33,17,"(4, 15)","(4, 4)","[(4, 15), (4, 14), (4, 13), (4, 12), (4, 11), (4, 10), (4, 9), (4, 8), (4, 7), (4, 6), (4, 5), (4, 4)]",11.0,11
34,39,"(4, 15)","(15, 15)","[(4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15)]",11.0,11
35,49,"(0, 0)","(11, 0)","[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0)]",11.0,11
36,63,"(4, 15)","(4, 4)","[(4, 15), (4, 14), (4, 13), (4, 12), (4, 11), (4, 10), (4, 9), (4, 8), (4, 7), (4, 6), (4, 5), (4, 4)]",11.0,11
37,3,"(0, 0)","(11, 0)","[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0)]",11.0,11
38,13,"(4, 15)","(15, 15)","[(4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15)]",11.0,11
39,27,"(11, 11)","(11, 0)","[(11, 11), (11, 10), (11, 9), (11, 8), (11, 7), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (11, 1), (11, 0)]",11.0,11
40,53,"(11, 11)","(11, 0)","[(11, 11), (11, 10), (11, 9), (11, 8), (11, 7), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (11, 1), (11, 0)]",11.0,11
41,30,"(11, 11)","(1, 15)","[(11, 11), (10, 11), (9, 11), (8, 11), (7, 12), (6, 13), (5, 14), (4, 14), (3, 14), (2, 14), (1, 15)]",11.65685424949238,10
42,35,"(14, 0)","(4, 4)","[(14, 0), (13, 0), (12, 0), (11, 0), (10, 1), (9, 2), (8, 3), (7, 3), (6, 3), (5, 3), (4, 4)]",11.65685424949238,10
43,66,"(14, 0)","(4, 4)","[(14, 0), (13, 0), (12, 0), (11, 0), (10, 0), (9, 0), (8, 1), (7, 2), (6, 3), (5, 3), (4, 4)]",11.65685424949238,10
44,71,"(11, 11)","(1, 15)","[(11, 11), (10, 11), (9, 11), (8, 11), (7, 11), (6, 11), (5, 12), (4, 13), (3, 14), (2, 14), (1, 15)]",11.65685424949238,10
