time_step,path_id,nodes,cost,time,completed
1,1,"[(0, 0), (0, 1)]",1.0,1,False
1,2,"[(6, 7), (7, 7)]",1.0,1,False
2,1,"[(0, 0), (0, 1), (0, 2)]",2.0,2,False
2,2,"[(5, 7), (6, 7), (7, 7)]",2.0,2,False
3,1,"[(0, 0), (0, 1), (0, 2), (0, 3)]",3.0,3,False
3,2,"[(4, 7), (5, 7), (6, 7), (7, 7)]",3.0,3,False
4,1,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4)]",4.0,4,False
4,2,"[(3, 7), (4, 7), (5, 7), (6, 7), (7, 7)]",4.0,4,False
5,1,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5)]",5.0,5,False
5,2,"[(2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7)]",5.0,5,False
6,1,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6)]",6.0,6,False
6,2,"[(1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7)]",6.0,6,False
7,1,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7)]",7.0,7,False
7,2,"[(0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7)]",7.0,7,False
8,1,"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)]",9.899494936611667,7,True
8,2,"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)]",9.899494936611667,7,True
