rank,path_id,start_node,end_node,nodes,cost,time
1,12,"(6, 31)","(3, 31)","[(6, 31), (5, 31), (4, 31), (3, 31)]",3.0,3
2,57,"(6, 31)","(3, 31)","[(6, 31), (5, 31), (4, 31), (3, 31)]",3.0,3
3,17,"(14, 8)","(11, 8)","[(14, 8), (13, 9), (12, 9), (11, 8)]",3.82842712474619,3
4,22,"(20, 23)","(17, 23)","[(20, 23), (19, 23), (18, 24), (17, 23)]",3.82842712474619,3
5,47,"(20, 23)","(17, 23)","[(20, 23), (19, 24), (18, 24), (17, 23)]",3.82842712474619,3
6,52,"(14, 8)","(11, 8)","[(14, 8), (13, 9), (12, 9), (11, 8)]",3.82842712474619,3
7,27,"(28, 0)","(25, 0)","[(28, 0), (28, 1), (27, 2), (26, 1), (25, 0)]",5.242640687119285,4
8,42,"(28, 0)","(25, 0)","[(28, 0), (28, 1), (27, 2), (26, 1), (25, 0)]",5.242640687119286,4
9,50,"(0, 16)","(11, 8)","[(0, 16), (0, 15), (1, 14), (0, 13), (1, 12), (1, 11), (2, 10), (3, 11), (4, 11), (5, 10), (6, 10), (7, 11), (8, 11), (9, 10), (10, 9), (11, 8)]",19.142135623730955,15
10,5,"(0, 16)","(11, 8)","[(0, 16), (0, 15), (1, 14), (0, 13), (1, 12), (1, 11), (2, 10), (3, 11), (4, 11), (5, 10), (6, 10), (7, 11), (8, 11), (9, 10), (10, 9), (11, 8)]",19.142135623730955,15
11,49,"(0, 16)","(11, 8)","[(0, 16), (0, 15), (1, 14), (0, 13), (1, 12), (1, 11), (2, 10), (3, 11), (4, 11), (5, 10), (6, 10), (7, 11), (8, 11), (9, 10), (10, 9), (11, 8)]",19.142135623730955,15
12,6,"(0, 16)","(3, 31)","[(0, 16), (1, 17), (2, 18), (1, 19), (1, 20), (1, 21), (0, 22), (0, 23), (1, 24), (2, 24), (3, 25), (4, 26), (4, 27), (4, 28), (3, 29), (4, 30), (3, 31)]",20.142135623730955,16
