rank,path_id,start_node,end_node,nodes,cost,time
1,28,"(20, 23)","(17, 23)","[(20, 23), (19, 22), (18, 22), (17, 23)]",3.82842712474619,3
2,33,"(28, 0)","(25, 0)","[(28, 0), (27, 0), (26, 1), (25, 0)]",3.82842712474619,3
3,53,"(20, 23)","(17, 23)","[(20, 23), (19, 22), (18, 22), (17, 23)]",3.82842712474619,3
4,31,"(28, 0)","(25, 0)","[(28, 0), (27, 0), (26, 1), (25, 0)]",3.82842712474619,3
5,48,"(28, 0)","(25, 0)","[(28, 0), (27, 0), (26, 1), (25, 0)]",3.8284271247461903,3
6,26,"(20, 23)","(31, 15)","[(20, 23), (21, 22), (22, 22), (23, 21), (24, 21), (25, 20), (25, 19), (26, 18), (27, 17), (27, 16), (28, 15), (29, 15), (30, 15), (31, 15)]",15.485281374238571,13
7,24,"(20, 23)","(31, 15)","[(20, 23), (21, 22), (22, 22), (23, 21), (24, 21), (25, 20), (25, 19), (26, 18), (27, 17), (27, 16), (28, 15), (29, 15), (30, 15), (31, 15)]",15.485281374238571,13
8,41,"(20, 23)","(31, 15)","[(20, 23), (21, 22), (22, 21), (23, 21), (24, 21), (25, 20), (25, 19), (26, 18), (27, 17), (27, 16), (28, 15), (29, 15), (30, 15), (31, 15)]",15.485281374238573,13
9,16,"(6, 31)","(17, 23)","[(6, 31), (7, 30), (8, 29), (9, 30), (10, 30), (11, 29), (11, 28), (12, 27), (13, 26), (14, 25), (15, 24), (16, 24), (17, 23)]",15.727922061357859,12
10,51,"(6, 31)","(17, 23)","[(6, 31), (7, 30), (8, 29), (9, 30), (10, 30), (11, 29), (11, 28), (12, 27), (13, 26), (14, 25), (15, 24), (16, 24), (17, 23)]",15.727922061357859,12
11,11,"(0, 16)","(11, 8)","[(0, 16), (1, 16), (2, 15), (3, 14), (4, 14), (5, 14), (6, 13), (7, 14), (8, 13), (8, 12), (8, 11), (9, 10), (10, 9), (11, 8)]",16.313708498984763,13
12,56,"(0, 16)","(11, 8)","[(0, 16), (1, 16), (2, 15), (3, 14), (4, 14), (5, 14), (6, 13), (7, 14), (8, 13), (8, 12), (8, 11), (9, 10), (10, 9), (11, 8)]",16.313708498984763,13
13,23,"(14, 8)","(11, 8)","[(14, 8), (13, 7), (12, 6), (11, 5), (10, 4), (9, 5), (8, 5), (7, 6), (8, 7), (8, 8), (8, 9), (9, 10), (10, 9), (11, 8)]",17.142135623730955,13
14,58,"(14, 8)","(11, 8)","[(14, 8), (13, 7), (12, 6), (11, 5), (10, 4), (9, 5), (8, 5), (7, 6), (8, 7), (8, 8), (8, 9), (9, 10), (10, 9), (11, 8)]",17.142135623730955,13
15,21,"(14, 8)","(25, 0)","[(14, 8), (15, 9), (16, 9), (17, 8), (18, 8), (19, 7), (20, 6), (21, 5), (22, 4), (23, 5), (24, 4), (24, 3), (24, 2), (24, 1), (25, 0)]",17.72792206135786,14
16,46,"(14, 8)","(25, 0)","[(14, 8), (15, 7), (16, 8), (17, 8), (18, 8), (19, 7), (20, 6), (21, 5), (22, 4), (23, 5), (24, 4), (24, 3), (24, 2), (24, 1), (25, 0)]",17.72792206135786,14
17,44,"(14, 8)","(25, 0)","[(14, 8), (15, 7), (16, 8), (17, 8), (18, 8), (19, 7), (20, 6), (21, 5), (22, 4), (23, 5), (24, 4), (24, 3), (24, 2), (24, 1), (25, 0)]",17.72792206135786,14
18,18,"(14, 8)","(25, 0)","[(14, 8), (15, 9), (16, 9), (17, 8), (18, 8), (19, 7), (20, 6), (21, 5), (22, 4), (23, 5), (24, 4), (24, 3), (24, 2), (24, 1), (25, 0)]",17.72792206135786,14
19,22,"(14, 8)","(17, 23)","[(14, 8), (15, 9), (16, 9), (17, 10), (18, 11), (17, 12), (16, 13), (16, 14), (16, 15), (16, 16), (16, 17), (17, 18), (17, 19), (16, 20), (16, 21), (17, 22), (17, 23)]",19.313708498984763,16
20,52,"(14, 8)","(17, 23)","[(14, 8), (15, 9), (16, 9), (17, 10), (18, 11), (17, 12), (16, 13), (16, 14), (16, 15), (16, 16), (16, 17), (17, 18), (17, 19), (16, 20), (16, 21), (17, 22), (17, 23)]",19.313708498984763,16
