rank,path_id,start_node,end_node,nodes,cost,time
1,18,"(6, 31)","(3, 31)","[(6, 31), (5, 31), (4, 31), (3, 31)]",3.0,3
2,33,"(28, 0)","(25, 0)","[(28, 0), (27, 0), (26, 0), (25, 0)]",3.0,3
3,54,"(28, 0)","(25, 0)","[(28, 0), (27, 0), (26, 0), (25, 0)]",3.0,3
4,69,"(6, 31)","(3, 31)","[(6, 31), (5, 31), (4, 31), (3, 31)]",3.0,3
5,28,"(20, 23)","(17, 23)","[(20, 23), (19, 23), (19, 22), (18, 22), (17, 22), (17, 23)]",5.0,5
6,59,"(20, 23)","(17, 23)","[(20, 23), (19, 23), (19, 22), (18, 22), (17, 22), (17, 23)]",5.0,5
7,23,"(14, 8)","(11, 8)","[(14, 8), (14, 7), (13, 7), (13, 6), (12, 6), (11, 6), (11, 7), (11, 8)]",7.0,7
8,64,"(14, 8)","(11, 8)","[(14, 8), (14, 7), (13, 7), (13, 6), (12, 6), (11, 6), (11, 7), (11, 8)]",7.0,7
9,61,"(0, 0)","(11, 8)","[(0, 0), (0, 1), (0, 2), (1, 2), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (6, 3), (7, 3), (8, 3), (9, 3), (9, 4), (9, 5), (10, 5), (10, 6), (10, 7), (10, 8), (11, 8)]",19.0,19
10,5,"(0, 0)","(11, 8)","[(0, 0), (0, 1), (0, 2), (1, 2), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (6, 3), (7, 3), (8, 3), (9, 3), (9, 4), (9, 5), (10, 5), (10, 6), (10, 7), (10, 8), (11, 8)]",19.0,19
11,11,"(0, 16)","(11, 8)","[(0, 16), (0, 15), (1, 15), (1, 14), (1, 13), (2, 13), (2, 12), (2, 11), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (7, 9), (8, 9), (9, 9), (10, 9), (10, 8), (11, 8)]",19.0,19
12,21,"(14, 8)","(25, 0)","[(14, 8), (14, 7), (14, 6), (14, 5), (14, 4), (14, 3), (14, 2), (14, 1), (14, 0), (15, 0), (16, 0), (17, 0), (18, 0), (19, 0), (20, 0), (21, 0), (22, 0), (23, 0), (24, 0), (25, 0)]",19.0,19
13,25,"(20, 23)","(31, 31)","[(20, 23), (20, 24), (20, 25), (20, 26), (20, 27), (20, 28), (20, 29), (21, 29), (22, 29), (23, 29), (24, 29), (25, 29), (26, 29), (26, 30), (27, 30), (28, 30), (28, 31), (29, 31), (30, 31), (31, 31)]",19.0,19
14,26,"(20, 23)","(31, 15)","[(20, 23), (20, 22), (20, 21), (20, 20), (20, 19), (20, 18), (20, 17), (21, 17), (22, 17), (23, 17), (24, 17), (25, 17), (26, 17), (27, 17), (28, 17), (28, 16), (29, 16), (29, 15), (30, 15), (31, 15)]",19.0,19
15,41,"(20, 23)","(31, 31)","[(20, 23), (20, 24), (20, 25), (20, 26), (20, 27), (20, 28), (20, 29), (21, 29), (22, 29), (23, 29), (24, 29), (25, 29), (26, 29), (26, 30), (27, 30), (28, 30), (28, 31), (29, 31), (30, 31), (31, 31)]",19.0,19
16,47,"(20, 23)","(31, 15)","[(20, 23), (20, 22), (20, 21), (20, 20), (20, 19), (20, 18), (20, 17), (21, 17), (22, 17), (23, 17), (24, 17), (25, 17), (26, 17), (27, 17), (28, 17), (28, 16), (29, 16), (29, 15), (30, 15), (31, 15)]",19.0,19
