time_step,path_id,nodes,cost,time,completed
1,1,"[(0, 0), (0, 1)]",1.0,1,False
1,2,"[(30, 31), (31, 31)]",1.0,1,False
2,1,"[(0, 0), (0, 1), (0, 2)]",2.0,2,False
2,2,"[(29, 31), (30, 31), (31, 31)]",2.0,2,False
3,1,"[(0, 0), (0, 1), (0, 2), (0, 3)]",3.0,3,False
3,2,"[(28, 31), (29, 31), (30, 31), (31, 31)]",3.0,3,False
4,1,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4)]",4.0,4,False
4,2,"[(27, 31), (28, 31), (29, 31), (30, 31), (31, 31)]",4.0,4,False
5,1,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5)]",5.0,5,False
5,2,"[(26, 31), (27, 31), (28, 31), (29, 31), (30, 31), (31, 31)]",5.0,5,False
6,1,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6)]",6.0,6,False
6,2,"[(25, 31), (26, 31), (27, 31), (28, 31), (29, 31), (30, 31), (31, 31)]",6.0,6,False
7,1,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7)]",7.0,7,False
7,2,"[(24, 31), (25, 31), (26, 31), (27, 31), (28, 31), (29, 31), (30, 31), (31, 31)]",7.0,7,False
8,1,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8)]",8.0,8,False
8,2,"[(23, 31), (24, 31), (25, 31), (26, 31), (27, 31), (28, 31), (29, 31), (30, 31), (31, 31)]",8.0,8,False
9,1,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9)]",9.0,9,False
9,2,"[(22, 31), (23, 31), (24, 31), (25, 31), (26, 31), (27, 31), (28, 31), (29, 31), (30, 31), (31, 31)]",9.0,9,False
10,1,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10)]",10.0,10,False
10,2,"[(21, 31), (22, 31), (23, 31), (24, 31), (25, 31), (26, 31), (27, 31), (28, 31), (29, 31), (30, 31), (31, 31)]",10.0,10,False
11,1,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11)]",11.0,11,False
11,2,"[(20, 31), (21, 31), (22, 31), (23, 31), (24, 31), (25, 31), (26, 31), (27, 31), (28, 31), (29, 31), (30, 31), (31, 31)]",11.0,11,False
12,1,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12)]",12.0,12,False
12,2,"[(19, 31), (20, 31), (21, 31), (22, 31), (23, 31), (24, 31), (25, 31), (26, 31), (27, 31), (28, 31), (29, 31), (30, 31), (31, 31)]",12.0,12,False
13,1,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13)]",13.0,13,False
